Serial Number,Name,dateCBASS
20834982,30C,2023-06-20
20850765,32C,2023-06-20
21074723,33C,2023-06-20
21524290,34C,2023-06-20
21524291,35C,2023-06-20
21524292,36C,2023-06-20
21524293,37C,2023-06-20
21524294,38C,2023-06-20
20834982,30C,2023-06-22
20850765,32C,2023-06-22
21074723,33C,2023-06-22
21524290,34C,2023-06-22
21524291,35C,2023-06-22
21524292,36C,2023-06-22
21524293,37C,2023-06-22
20834982,30C,2023-06-23
20850765,32C,2023-06-23
21074723,33C,2023-06-23
21524290,34C,2023-06-23
21524291,35C,2023-06-23
21524292,36C,2023-06-23
21524293,37C,2023-06-23
20835039,38C_2,2023-06-23
20834982,30C,2023-06-24
20850765,32C,2023-06-24
21074723,33C,2023-06-24
21524290,34C,2023-06-24
21524291,35C,2023-06-24
21524292,36C,2023-06-24
21524293,37C,2023-06-24
20835039,38C_2,2023-06-24
20834982,30C,2023-06-26
20850765,32C,2023-06-26
21074723,33C,2023-06-26
21524290,34C,2023-06-26
21524291,35C,2023-06-26
21524292,36C,2023-06-26
21524293,37C,2023-06-26
20835039,38C_2,2023-06-26
20834982,30C,2023-06-27
20850765,32C,2023-06-27
21074723,33C,2023-06-27
21524290,34C,2023-06-27
21524291,35C,2023-06-27
21524292,36C,2023-06-27
21524293,37C,2023-06-27
20835039,38C_2,2023-06-27
20834982,30C,2023-06-30
20850765,32C,2023-06-30
21074723,33C,2023-06-30
20835039,34.5C,2023-06-30
21524290,34C,2023-06-30
21524291,35C,2023-06-30
21524292,36C,2023-06-30
21524293,37C,2023-06-30
20835039,30C,2023-06-19
20850765,32C,2023-06-19
21074723,33C,2023-06-19
21524290,34C,2023-06-19
21524291,35C,2023-06-19
21524292,36C,2023-06-19
21524293,37C,2023-06-19
21524294,38C,2023-06-19
20834982,CBASS-Spare,2023-06-19
